-3.90603294e-05, 8.92380640e-07, -1.77874494e-05, 0.5685440830, -0.7511069170, -0.3199979170, 0.1920939932, 0.1397341157, -0.1918784422
-3.46900337e-05, -9.30591732e-06, -2.36798375e-05, 0.7655635039, -0.6417367353, -0.0429417564, 0.1954364564, 0.1430063668, -0.1857080668
-2.76763017e-05, -1.90918425e-05, -2.67049780e-05, 0.8058557042, -0.5620526152, 0.1508103195, 0.1972599127, 0.1447988411, -0.1808328159
-1.89935896e-05, -2.78880582e-05, -2.67370327e-05, 0.8655295465, -0.3395273061, 0.4230607790, 0.2005288610, 0.1480760690, -0.1742868380
-9.48776489e-06, -3.49239188e-05, -2.36366698e-05, 0.7942121510, -0.1393807511, 0.6024127079, 0.2026707610, 0.1502655027, -0.1686418825
-1.47773380e-09, -3.95103837e-05, -1.74854928e-05, 0.6630471772, 0.0847667364, 0.7343501233, 0.2049387421, 0.1526202225, -0.1626446131
8.37621930e-06, -4.14315144e-05, -8.92289854e-06, 0.4774216821, 0.3058782360, 0.7965809882, 0.2072003921, 0.1550077240, -0.1564278384
1.48622343e-05, -4.05132049e-05, 1.35024294e-06, 0.2826292042, 0.5321218673, 0.8075840374, 0.2096949788, 0.1576671374, -0.1497533057
1.85951569e-05, -3.70966244e-05, 1.21693112e-05, 0.0626099352, 0.7090015013, 0.7282005691, 0.2118374922, 0.1600132684, -0.1432076708
1.93880164e-05, -3.13341003e-05, 2.26814351e-05, -0.1617308903, 0.8211841064, 0.5624802821, 0.2136974651, 0.1621154179, -0.1367236846
1.71934032e-05, -2.37277795e-05, 3.18722180e-05, -0.3447383814, 0.8835999598, 0.3473786046, 0.2156485343, 0.1643469430, -0.1299306344
1.22868303e-05, -1.49047740e-05, 3.88440765e-05, -0.4823467140, 0.8779091776, 0.0875296121, 0.2174655291, 0.1664823446, -0.1230572543
4.98252149e-06, -5.81811878e-06, 4.26508240e-05, -0.5669429929, 0.7996864487, -0.1994565730, 0.2188307126, 0.1682035094, -0.1164254778
-3.70766929e-06, 3.02903919e-06, 4.30871829e-05, -0.5456777607, 0.7012103141, -0.4421200425, 0.2207032634, 0.1704691922, -0.1090809444
-1.29552259e-05, 1.08425607e-05, 3.99365712e-05, -0.5087676267, 0.5032116405, -0.7051801393, 0.2214971367, 0.1716928779, -0.1026151236
-2.18237324e-05, 1.69787327e-05, 3.33758762e-05, -0.4061697624, 0.2771965549, -0.9086849960, 0.2221098499, 0.1727715691, -0.0961365088
-2.92874542e-05, 2.10719178e-05, 2.40427975e-05, -0.2169493898, 0.0741173907, -1.0003510126, 0.2232574901, 0.1744207951, -0.0889355848
-3.46746644e-05, 2.27201997e-05, 1.26415432e-05, 0.0503334317, -0.0787603498, -0.9591397638, 0.2251914174, 0.1768913180, -0.0807680964
