-3.78568464e-05, -7.88968744e-07, -1.54538000e-05, 0.5597513348, -0.7602992660, -0.3295807479
-3.78561450e-05, -8.47885617e-07, -1.55035825e-05, 0.5597515091, -0.7602991579, -0.3295807011
-3.78552795e-05, -9.06882705e-07, -1.55532933e-05, 0.5597516834, -0.7602990499, -0.3295806542
-3.78542496e-05, -9.65959628e-07, -1.56029320e-05, 0.5597518577, -0.7602989419, -0.3295806074
-3.78530552e-05, -1.02511839e-06, -1.56525000e-05, 0.5597520320, -0.7602988338, -0.3295805606
-3.78516963e-05, -1.08435384e-06, -1.57019930e-05, 0.5597522063, -0.7602987258, -0.3295805138
-3.78501727e-05, -1.14366797e-06, -1.57514124e-05, 0.5597523806, -0.7602986178, -0.3295804669
-3.78484843e-05, -1.20306041e-06, -1.58007578e-05, 0.5597525549, -0.7602985098, -0.3295804201
-3.78466309e-05, -1.26253077e-06, -1.58500288e-05, 0.5597527292, -0.7602984017, -0.3295803733
-3.78446124e-05, -1.32207865e-06, -1.58992249e-05, 0.5597529035, -0.7602982937, -0.3295803264
-3.78424287e-05, -1.38170368e-06, -1.59483456e-05, 0.5597530778, -0.7602981857, -0.3295802796
-3.78400798e-05, -1.44140545e-06, -1.59973904e-05, 0.5597532521, -0.7602980776, -0.3295802328
-3.78375653e-05, -1.50118598e-06, -1.60463610e-05, 0.5597534265, -0.7602979696, -0.3295801860
-3.78348853e-05, -1.56104008e-06, -1.60952528e-05, 0.5597536008, -0.7602978616, -0.3295801391
-3.78320398e-05, -1.62096974e-06, -1.61440674e-05, 0.5597537751, -0.7602977536, -0.3295800923
-3.78290285e-05, -1.68097458e-06, -1.61928043e-05, 0.5597539494, -0.7602976455, -0.3295800455
-3.78258513e-05, -1.74105420e-06, -1.62414631e-05, 0.5597541237, -0.7602975375, -0.3295799986
-3.78225082e-05, -1.80120820e-06, -1.62900433e-05, 0.5597542980, -0.7602974295, -0.3295799518
-3.78189990e-05, -1.86143618e-06, -1.63385444e-05, 0.5597544723, -0.7602973214, -0.3295799050
-3.78153235e-05, -1.92174016e-06, -1.63869680e-05, 0.5597546466, -0.7602972134, -0.3295798582
-3.78114819e-05, -1.98211491e-06, -1.64353096e-05, 0.5597548209, -0.7602971054, -0.3295798113
-3.78074740e-05, -2.04256243e-06, -1.64835708e-05, 0.5597549952, -0.7602969974, -0.3295797645
-3.78032996e-05, -2.10308232e-06, -1.65317512e-05, 0.5597551695, -0.7602968893, -0.3295797177
-3.77989588e-05, -2.16367417e-06, -1.65798502e-05, 0.5597553438, -0.7602967813, -0.3295796708
-3.77944512e-05, -2.22433759e-06, -1.66278674e-05, 0.5597555181, -0.7602966733, -0.3295796240
-3.77897770e-05, -2.28507217e-06, -1.66758023e-05, 0.5597556924, -0.7602965652, -0.3295795772
-3.77849359e-05, -2.34587993e-06, -1.67236565e-05, 0.5597558667, -0.7602964572, -0.3295795303
-3.77799280e-05, -2.40675559e-06, -1.67714255e-05, 0.5597560410, -0.7602963492, -0.3295794835
-3.77747532e-05, -2.46770117e-06, -1.68191109e-05, 0.5597562153, -0.7602962412, -0.3295794367
-3.77694114e-05, -2.52871626e-06, -1.68667123e-05, 0.5597563896, -0.7602961331, -0.3295793899
-3.77639024e-05, -2.58980045e-06, -1.69142291e-05, 0.5597565639, -0.7602960251, -0.3295793430
-3.77582264e-05, -2.65095332e-06, -1.69616609e-05, 0.5597567382, -0.7602959171, -0.3295792962
-3.77523830e-05, -2.71217446e-06, -1.70090073e-05, 0.5597569125, -0.7602958090, -0.3295792494
-3.77463724e-05, -2.77346346e-06, -1.70562678e-05, 0.5597570869, -0.7602957010, -0.3295792025
-3.77401941e-05, -2.83482235e-06, -1.71034438e-05, 0.5597572612, -0.7602955930, -0.3295791557
-3.77338487e-05, -2.89624580e-06, -1.71505311e-05, 0.5597574355, -0.7602954849, -0.3295791089
-3.77273357e-05, -2.95773584e-06, -1.71975311e-05, 0.5597576098, -0.7602953769, -0.3295790621
-3.77206552e-05, -3.01929206e-06, -1.72444434e-05, 0.5597577841, -0.7602952689, -0.3295790152
-3.77138071e-05, -3.08091403e-06, -1.72912676e-05, 0.5597579584, -0.7602951609, -0.3295789684
-3.77067912e-05, -3.14260132e-06, -1.73380031e-05, 0.5597581327, -0.7602950528, -0.3295789216
-3.76996077e-05, -3.20435352e-06, -1.73846496e-05, 0.5597583070, -0.7602949448, -0.3295788747
-3.76922561e-05, -3.26617269e-06, -1.74312084e-05, 0.5597584813, -0.7602948368, -0.3295788279
-3.76847370e-05, -3.32805343e-06, -1.74776754e-05, 0.5597586556, -0.7602947287, -0.3295787811
-3.76770499e-05, -3.38999779e-06, -1.75240519e-05, 0.5597588299, -0.7602946207, -0.3295787342
-3.76691950e-05, -3.45200535e-06, -1.75703376e-05, 0.5597590042, -0.7602945127, -0.3295786874
-3.76611721e-05, -3.51407567e-06, -1.76165319e-05, 0.5597591785, -0.7602944047, -0.3295786406
-3.76529812e-05, -3.57620834e-06, -1.76626345e-05, 0.5597593528, -0.7602942966, -0.3295785938
-3.76446222e-05, -3.63840291e-06, -1.77086449e-05, 0.5597595271, -0.7602941886, -0.3295785469
-3.76360952e-05, -3.70065895e-06, -1.77545626e-05, 0.5597597014, -0.7602940806, -0.3295785001
-3.76273998e-05, -3.76297854e-06, -1.78003890e-05, 0.5597598757, -0.7602939725, -0.3295784533
-3.76185365e-05, -3.82535623e-06, -1.78461200e-05, 0.5597600500, -0.7602938645, -0.3295784064
